@relation JKW_TWCL_1

@attribute TWEETCL_ string
@attribute @@class@@ {POS,NEG}

@data
'senyumnya pak manis juga ternyata',POS
'tante sarseh dukung jk kah salam jari',POS
'jk yg ada adalah peningkatan kualitas guru trmsk sertifikasi tdk katakan sertifikasi ditiadakan krn ada di uu',POS
'hmm tegaskan tak akan hapus sertifikasi guru jpnn pilpres',POS
'haha yeyy ertehh salam jari yeyy',POS
'suka dengan perubahan ke arah lebih baik jakarta di tangan ahok ahok yg kerja dilead dr istana akn lbh baik',POS
'fitnahmu basi tetap melaju by',POS
'ini komentar media internasional soal lagu salam dua jari cerdaspilih salam jari',POS
'uyee bgt kebanggaan seniman pendukung kalla adalah tidak ada yg dibayar',POS
'gue bikin no yang artinya ayo pilih',POS
'tjahjo kumolo yakin tetap unggul pintarpilih',POS
'menabung harapan untuk indonesia bersama kita',POS
'kampanye di tasikmalaya juni',POS
'manado today sarundajang orang cerdas pilih pintarpilih',POS
'makasih teh ihihi ahahaha jadi simpatisme',POS
'stand on the right side salam jari jangan lupa coblos prahara or',POS
'istri bupati jayawijaya kumpulkan seribu tanda tangan untuk pintarpilih',POS
'ya semua prestasi itu kurang konkrit apaan di berita ada kan bedanya klo dia kerja di blg',POS
'hari santri nasional apresiasi kearifan lokal',POS
'seniman yang kerap golput putuskan pilih',POS
'tp tenang tetep menang kok krn tuhan tidak akan membiarkan iblis org jahat menang masa tuhan kalah dgn iblis itu gk mgkn',POS
'media center komunitas sobat di adelaide dukung pintarpilih',POS
'ayo mari gabung seribu pendukung nonton bareng debat di tugu proklamasi',POS
'alasan kh hasyim muzadi memilih salam jari menangmutlak',POS
'buruh dan lsm sidoarjo deklarasi',POS
'kharisma kerakyatan jadi faktor surplus untrak',POS
'cerdaspilih kreativitas manusia sumber daya ekonomi utama ekonomi kreatif beragam jenisnya harus diberi ruang oleh negara',POS
'biker lebih jabodetabek deklarasi sahur on the road untuk bersama projo pintarpilih',POS
'gue gak gimana gimana banget sama tbh tapi karena lawannya gak lebih baik dari dia maka gue gak ada alasan untuk gak pilih dia',POS
'pemilihan presiden adalah sebuah kegembiraan politik pintarpilih',POS
'yg ada adalah peningkatan kualitas guru trmsk sertifikasi tdk katakan sertifikasi ditiadakan krn ada di uu pintarpilih',POS
'icw visi misi terkait isu antikorupsi jauh lebih baik',POS
'yakin raih persen di papua',POS
'hidup satu bendera by tangga',POS
'pbw kalau bukan kita siapa lagi jkw adalah kita kesimpulan kalau bukan siapa lagi',POS
'komunikasi kan dua arah jadi selama dan wartawan saling ngerti gak ada masalah kalo soal medoknya mau diapain lagi',POS
'cerdaspilih kalau negara kita mau maju indonesia harus memiliki manusia manusia dengan mental juara disektor apapun itu',POS
'slank pilih karena kesederhanaannya dan jauh dari korupsi',POS
'mau dibilang capres bodoh dungu koruptor pki gak masalah yg penting bukti bukan koar aja basi tau salam jari hidup',POS
'pdip diminta bantu relawan menangkan',POS
'cak imin sesumbar raih persen di jatim',POS
'bukti pak support pak jk selalu dwi tunggal indonesia pintarpilih tiapkali jeda iklan sambangi jk',POS
'gue bukan buzzer dan demi allah gue nggak sama sekali dibayar buat nyuruh milih ini demi kebaikan negara',POS
'slank pilih karena kesederhanaannya dan jauh dari korupsi jk kampanye',POS
'yuk para relawan promosikan capres nomor dg mudah download materinya disini',POS
'negara ini harus menjadi negara produksi bukan negara konsumsi pintarpilih',POS
'penyandang disabilitas palembang dukung jadi presiden',POS
'indahnya indonesia insya allah terwujud bersama pasangan nomor salam jari menangmutlak',POS
'mari kita dukung prabochor subianto menjadi macan asia dan dukung sbg presiden ri pintarpilih',POS
'menciptakan lapangan kerja baru bagi juta tenaga kerja kata didiek sementara tim ekonomi jk arif',POS
'kurang dari tahun sudah membersihkan dan membangun taman baru seperti waduk pluit dan waduk ria rio prestasi',POS
'dari orang di jakarta bilang banyak perubahan di jakarta',POS
'cerdaspilih kita tdk akan mengirim tki pada negara yg tdk pny undang tenaga kerja yg jelas',POS
'salam dua jari jangan lupa pilh',POS
'janji tetapkan hari santri nasional',POS
'sejak kecil saya tak pernah mimpi jadi presiden pintarpilih',POS
'hubungan australia indonesia soal trust dan kewibawaan pintarpilih',POS
'pendukung gelar spanduk sindir garuda merah',POS
'tetangga lewat pintarpilih',POS
'ahok terang terangan pilih',POS
'no bekerja salamduajari kta dlm abjad indonesia dpmya dan stlah adalah brrti',POS
'mantap saya dukung kallah eeaa',POS
'ratusan alumni itb dan pakar it ramaikan nobar di media center berat nh backingan nya',POS
'tanggal july ad pesta demokrasi slm jari jngan lupa plih jkart',POS
'pintarpilih wah yang di tugu proklamasi makin menguatkan dukungan pada pintarpilih',POS
'udah gak ragu lagi pilih pak karna saya udh merasakan progam nya pak saat memimpin dki jakarta',POS
'konser ngabuburit di bandung slank kami dukung cerdaspilih pintarpilih salam jari',POS
'video dokumentasi swadaya sumbangan arief kiano dlm jogja istimewa utk monggo',POS
'cerdaspilih jika terpilih akan meningkatan alutsista dan kesejahteraan prajurit tni',POS
'kamera yg nyari jkw bukan jkw yg cari kamera',POS
'netizen pertemukan dengan dua tukang becak dan keluarga supir angkot pintarpilih',POS
'komunitas sobat di adelaide dukung mantap nih pintarpilih',POS
'junjung tinggi bineka tunggal ika dan pancasila revolusimental jkw ri mikir',POS
'giring yakin pilih setelah nonton debat',POS
'like ratusan alumni itb dan pakar it ramaikan nobar di media center',POS
'hidup itebe ratusan alumni itb dan pakar it ramaikan nobar di media center',POS
'info alasan gede pasek berlabuh ke',POS
'iya sudah membuktikan secara sederhana bahwa masalah distribusi bisa diatasi jika ada sedikit kemauan dari pemerintah',POS
'ide adlh mahal tp kemahalan tdk mnjadi nilai bila tdk dilakukan jkw ada dg tren ide kinerjanya yg membuka mata unt perubahan',POS
'tepis fitnah dengan kerja nyata pak bangett pintarpilih',POS
'adalah satu satunya pembawa perubahan ke arah lebih baik terbukti kinerjanya solo dan jakarta byak mengubah mental birokrasi',POS
'visi misi udah jelas banget lho jadi ngapain bingung nentuin pilihan pintarpilih',POS
'tak akan menghapus sertifikasi guru salam jari pintarpilih',POS
'tim sukses pemenangan membentuk satuan tugas satgas khusus anti kecurangan dan politik',POS
'berharap menang dan siap menunggu project minggu ratusan alumni itb dan cont',POS
'industri kreatif harus maju pintarpilih',POS
'pengusaha apresiasi penjelasan soal wto pintarpilih',POS
'bikin melting mulu nih ini pak asik juga tiap disorot kamera pasti senyum ah aku padamu lah pak',POS
'sudah membuktikan secara sederhana bahwa masalah distribusi bisa diatasi jika ada sedikit kemauan dari pemerintah pintarpilih',POS
'keliling temanggung magelang ganjar kampanyekan suara merdeka cybernews magelang',POS
'kopiah gus dur untuk via',POS
'melakukan penggalangan dana kampanye untuk karena kesederhanaan sosok figur visi dan misi capres cawapres nomor urut',POS
'dua tersebut pak kan sosok yang sangat sederhana beliau berteman dekat dengan rakyat membela pedagang juga dan',POS
'ratusan alumni itb dan pakar it ramaikan nobar di media center ratusan itu bukan ribuaan jutaan',POS
'pilihi capres no urut udah pasti baik orang nyaa',POS
'cerdaspilih hubungan australia indonesia soal trust dan kewibawaan',POS
dukung,POS
'timses minta bawaslu proaktif awasi potensi pelanggaran kampanye pintarpilih',POS
'jadilah pendukung yang aktif kontribusi nyata untuk masa depan bangsa bersama',POS
'eaa qaqa uyee bgt kebanggaan seniman pendukung adlh tdk ada yg dibayar semua krn nurani jernih tulus',POS
'salam jari jangan lupa tanggal juli pilih jk',POS
'dedication of life karya animasi untuk jk via',POS
'salam jari setiap lihat pak senyum hatiku ikut senyum nyes pleng tentrem',POS
'seribu pendukung nonton bareng debat di tugu proklamasi cerdaspilih pintarpilih salam jari',POS
'apapun yang terjadi tetap pilih itu pilihan yang terbaik salam jari',POS
'jumlah relawan dekati satu juta pintarpilih',POS
'no bekerja salamduajari no bekerja salamduajari no bekerja salamduajari no bekerja salamduajari semangat pak fighting capres ri',POS
'itu hak anak bangsa bro kita juga nggak kenal mereka kata demokrasi adlh kegembiraan itu sj',POS
'anak muda tak lagi golput karena effect republika online',POS
'yuuk bicara bocor setiap hari pintarpilih cerdaspilih dan jk',POS
'dan restorasi maritim untrakyat',POS
'seribu pendukung nonton bareng debat di tugu proklamasi via pintarpilih',POS
'ada ak yu salam dua jarii hahaa ini kenapa si orang orang yg saya kenal dan berada disekitar saya ga ada yg dukung',POS
'cerdaspilih pengusaha apresiasi penjelasan soal wto',POS
'kalo sebelah dibayar kebanggaan seniman pendukung kalla adalah tidak ada yg dibayar semuanya karena nurani',POS
'mancing bareng relawan seribu ikan ditabur persen suara ditarget salakopi mancing bareng diad',POS
'internasional apresiasi gagasan jk soal pendidikan calon presiden nomor urut mengap',POS
'internasional apresiasi gagasan jk soal pendidikan',POS
'dinilai bisa jadikan indonesia poros maritim dunia pintarpilih',POS
'irmadi yg bisa kembalikan kepercayaan rakyat pintarpilih',POS
'banyak banget seniman indonesia yang dukung mantap',POS
'alumni canisius jakarta deklarasi dukung',POS
'demikianlah alumni sekolah kanisius kompak dukung',POS
'salam dua jari jangan lupa pilih nyanyi',POS
'dari debat capres cawapres pak pak jk memang terbukti mereka adalah type pekerja keras bekerja cepat bukan tukang obat jago pidato',POS
'komunitas sobat di adelaide dukung pintarpilih',POS
'memanglah yang terbaik adalahkita',POS
'cerdaspilih persen pendidikan di sd harus menyangkut akhlak dan mental',POS
'mantap ratusan alumni itb pakar it ramaikan nobar di media center',POS
'bang di sini juga ratusan alumni itb dan pakar it ramaikan nobar di media center',POS
'alhmdlh yovi widianto cinta laura jg dukung revolusi mental salam jari',POS
'kurang dari dua tahun memanusiakan jakarta taman dipercantik trotoar diperbaiki akses publik ke balaikota dibuka lebar',POS
'salam jari genius semua yg dibelakang pak',POS
'aku benar benar terinspirasi seorang cinta laura cerdaspilih revolusi mental',POS
'anti jual diri kebanggaan seniman pendukung kalla adalah tidak ada yg dibayar semuanya karena nurani jernih tulus',POS
'cerdaspilih percuma pertumbuhan ekonomi baik kalau tak ada pemerataan',POS
'mega ayoo mari kita pilih pak banteng kurus kurus bukan karena ga makan lho tapi krna banyak tekanan perasaan hahaha',POS
'purnamarindu warga ngawi sumbang ton beras buat salam jari nomor antikkn',POS
'oke night pak nice dream no bekerja salamduajari salam jari haha',POS
'mendengar suara rakyat itu penting',POS
'ayo jaga dan tingkatkan jumlah pemilih kita survei mayoritas warga nu dan muhammadiyah pilih',POS
'pak jk mungkin gk begitu pintar beretorika tapi yg pasti dia dan akan bekerja optimis salam jari',POS
'bwt indnsia aq plh aja dh',POS
'cerdas cerdas byngkan dia dari gub solo dy bagus akhirnya nae jakarta jadi nd bisa diragukan dy bacalon nah nomor',POS
'pemimpi banyak retorika kita butuh pemimpin yg hobi kerja ya hanya jk',POS
'akan bekerja keras membuat pemerataan pembangunan jk pintarpilih pintarpilih',POS
'last salam jari jangan lupa pilih',POS
'cerdaspilih irmadi yg bisa kembalikan kepercayaan rakyat',POS
'salam dua jari jangan lupa pilih kalau beda jangan marah kita tetap saudara jkw',POS
'seorang kakek datang ke bank menyumbang demi respect',POS
'goresan ini kupersembahkan untuk bpk pintarpilih',POS
'persahabatan global dan amerika bag pintarpilih',POS
'salam foto dengan artisnya tapi pilih hahaha',POS
'slam jari ayo kita pilih debatcapresdncawapres',POS
'jam pagi waktu banjir mengunjungi penjaga pintu air bawa makanan gubernur mana yg melakukan ini',POS
'cerdaspilih ingin warga berpenghasilan rendah tetap mudah beli rumah',POS
'dahsyatnya gerakan sayang stop bicara capres sebelah',POS
'untung capresnya bukan beliau',POS
'bu risma yg sendirian bisa nutup dolly juga dukung yuk temen temen gabung sama bu risma pintarpilih',POS
'semua wajib nonton presiden republik indonesia',POS
'pulang lewat tengah malam bangun pagi untuk sholat jam kerja lagi kerja kerja kerja',POS
'jarang datang di mana di dunia dalam sejarah pemimpin seperti saat ini indonesia yang dapet kalau ga dipake itu akan sayang skl',POS
'ahmad basarah aneh elektabilitas turun tapi dukungan membludak pintarpilih',POS
'adalah cermin rakyat yg sesungguhnya jk pintarpilih',POS
'setiap lihat pak senyum hatiku ikut senyum nyes pleng tentrem',POS
'sekarangjuga ayo tingkatkan jumlah pemilih kita survei mayoritas warga nu muhammadiyah cerdaspilih',POS
'debat ke harap perhatikan closing statement krn point tertinggi pemilih ada disitu smoga bisa lakukan dgn baik',POS
'demam kreatif hanya di kubu melahirkan semangat dan kreativitas anak muda ri pemimpin adlh panutan',POS
'pilih siapa pak',POS
'keren nih net wawancara bareng net',POS
'kata sofian wanandi kalau pengusaha dan buruh sepakat untuk mendukung maka dia tidak percaya jika tidak menang',POS
'salam jari mau mendengar rakyat aplg suara dr mrka yg memiliki',POS
'ku yakin pilihanku nomer satu yaiyyalah nomer satu kan nomer dua nya pak kurang kreatif yang bikin lagu',POS
'mantapkan hati pilih nomor',POS
'kh hasyim muzadi bukan capres boneka jpnn pilpres',POS
'temukan visi misi dan program aks untuk indonesia unduh visi misi di sini',POS
'keren nih video animasi kampanye makin yakin dunia animasi indo pnya masa depan cerah',POS
'komunitas revolusi harmoni salam jari jangan lupa pilih lewat',POS
'premis capres no kalau bukan kita siapa lagi premis capres no adalah kita kesimpulan kalau bukan siapa lagi',POS
'kabar aktual apresiasi gagasan jk soal pendidikan',POS
'salam jari dr kami hejo hebat mantep bingitss',POS
'apresiasi gagasan jk soal pendidikan calon presiden nomor urut mengapresiasi performa',POS
